id,Macroeconomic Forecasting and Cyclical Outlook,Monetary Policy Analysis and Transmission,Labor Market and Demographic Analysis,Human Capital and Education Economics,Public Finance and Budgetary Policy,Industrial Organization and Regional Structure,Systemic Risk and Macroprudential Frameworks,Banking Sector and Intermediary Analysis,Financial Market Dynamics and Asset Pricing,Global Macroeconomics and Spillovers,International Trade and Global Value Chains,International Cooperation and Financial Fora,Micro-level Socio-Economic Surveys,Institutional Sector Accounts and Balance of Payments,Statistical Data Collection and Ingestion,Central Credit Register Operations,None of the above,best_label,word_count,title
118,4.535788968370484e-39,2.865473471834709e-27,3.3193921663338315e-13,2.379226571067703e-34,3.0806186393315114e-17,1.5010934340179882e-23,1.35685025813972e-16,1.006506428504569e-21,9.995587422159452e-05,2.8798480916871586e-45,1.0355807245959684e-12,2.5622197372031116e-59,1.2135977730294684e-74,1.302330000144039e-68,3.313788038553835e-24,7.834768661265934e-62,0.9999000441244107,None of the above,2464,Interconnect to stabilize: cross-border payments in a fragmenting world
119,6.230052206043148e-06,2.6362762482696602e-18,2.6373970072068664e-06,9.365014702801954e-07,6.252760636966729e-07,5.794888395910711e-06,1.7986096798172993e-12,2.3864934517599893e-06,8.89066917836383e-12,2.856067024802842e-11,4.310036580387222e-54,0.9999799436116702,1.0523124827262757e-06,8.991328192511048e-20,8.687991619067057e-18,3.9331119777301536e-07,1.1680435864619352e-10,International Cooperation and Financial Fora,2282,Interconnect to stabilize: cross-border payments in a fragmenting world
123,0.00043100896241709684,4.757403490467215e-19,1.1200053549850263e-06,1.0237160598627157e-06,8.980025054220254e-07,6.688626291260889e-24,1.955749366588956e-06,1.0827381003058492e-12,1.5302094970500486e-18,0.9995193090232125,2.3601719500766397e-05,8.089016049712481e-07,1.5607922897386318e-06,7.46725179667622e-20,3.436441301484869e-17,1.4364196003092312e-16,1.8713126604994946e-05,Global Macroeconomics and Spillovers,766,"Economic security in a changing world: openness, resilience, sovereignty"
124,1.1811107565196008e-06,1.1283201313538968e-19,2.089098707615861e-06,2.8167085142724794e-07,1.9907971992408628e-07,2.7619578360347093e-22,8.892335004324681e-22,2.7994329894115534e-11,8.559965730090561e-19,5.053469827044675e-05,0.9999268810135221,3.6801873382952355e-21,2.960536169983455e-19,1.6674337692346263e-17,7.357601042008625e-22,6.851797912578405e-17,1.883330017772455e-05,International Trade and Global Value Chains,307,"Economic security in a changing world: openness, resilience, sovereignty"
125,0.00017501444818681506,1.5582493505206788e-06,6.41496556690287e-07,7.3986230591821e-07,7.247590666600247e-07,6.036452717815562e-29,5.5642095996225e-18,8.964222668888235e-12,3.8517059764889773e-25,0.9994620053365136,1.1515044196351332e-05,5.175835937389655e-05,1.4103732992678567e-06,2.3517828917892623e-20,4.2673207379378866e-17,6.680517169849984e-17,0.0002946320621860855,Global Macroeconomics and Spillovers,200,"Economic security in a changing world: openness, resilience, sovereignty"
126,9.709596789288597e-07,3.0565840596873024e-13,2.3410965157469103e-06,4.0110594708804287e-07,1.8407254276786768e-07,1.640014832299372e-05,1.4700417719814675e-15,5.209699587623039e-11,4.202653369433187e-19,6.566920725053299e-06,0.999952711301156,1.1368544888074813e-21,1.2553080690029498e-18,4.593899712103478e-17,1.0939323770876913e-29,1.6482640434906352e-17,2.042434270726479e-05,International Trade and Global Value Chains,215,"Economic security in a changing world: openness, resilience, sovereignty"
127,6.927548291846392e-06,4.717501589305397e-20,2.2430524227222127e-10,2.882478491845701e-07,3.357044050869706e-07,2.785715782952022e-29,1.3795548036269837e-17,2.018906796446284e-11,1.0661475352104977e-23,9.2211535564314e-13,1.9563874854014004e-18,3.4433627808804795e-16,1.0362437619686765e-23,1.4552439071922435e-24,4.638565616921802e-22,3.689892944054628e-16,0.9999924482540368,None of the above,24,"Economic security in a changing world: openness, resilience, sovereignty"
129,4.886701148417031e-15,3.404404500679332e-07,3.725515302820322e-07,3.4372393730523843e-07,2.881846252533555e-07,2.02071894516941e-07,7.144025219081594e-13,3.3540794591723536e-12,8.736855428885292e-26,0.9999872584197977,8.201433755577106e-12,1.0717216682206934e-09,4.20240558394166e-07,7.072724924002337e-21,7.400102482577904e-28,5.430258307912124e-19,1.0773283210023565e-05,Global Macroeconomics and Spillovers,260,Address by the Governor Fabio Panetta
130,1.85812939596551e-11,0.9999482764397555,4.5104688194209594e-05,2.1534996495464878e-07,7.361287015900174e-07,3.8386555889020726e-07,7.487119703950836e-16,1.7590582808609492e-19,4.30675714153025e-12,4.5778512383813494e-14,4.888633862523893e-07,9.756134755869152e-07,3.81866970280385e-06,3.4117388702546915e-10,5.351366654839186e-20,6.74306764964419e-18,1.715209679331295e-11,Monetary Policy Analysis and Transmission,517,Address by the Governor Fabio Panetta
131,1.551856822345971e-06,1.3962530973081338e-11,2.9899536000733103e-06,4.931948683178561e-07,2.3786812521869198e-12,7.887683660676371e-31,1.711019458168865e-16,2.486577173931434e-17,2.3887826773510482e-12,1.6413705057458317e-18,3.27901112492378e-18,2.161564934533808e-19,3.193323465685234e-22,0.9999949647606992,1.628107427307013e-12,1.3143575051684843e-10,8.221607823194709e-11,Institutional Sector Accounts and Balance of Payments,371,Address by the Governor Fabio Panetta
132,4.4488222255890345e-06,0.9999887886927212,4.146734384866334e-06,6.505803616721959e-08,3.1268522869786223e-13,7.1326401109137125e-25,6.452122904752171e-19,4.853986538261264e-13,1.696205629180079e-12,3.545748537955808e-19,8.744466652822354e-25,4.3257711062117564e-24,2.411382280825533e-06,7.244332587508987e-14,1.2551187186745716e-22,1.3928671813469587e-07,2.1066775691406693e-11,Monetary Policy Analysis and Transmission,311,Address by the Governor Fabio Panetta
133,8.246623537535463e-06,4.87496720285181e-20,6.81082869123128e-07,2.128653321818456e-12,1.9614735615191624e-07,3.416346069046753e-28,1.5846395780483182e-07,9.741628302744797e-17,5.151836544103177e-21,2.072691258026877e-08,6.183893693440205e-11,7.333003513621275e-13,3.6328595206675433e-13,3.966644771756903e-25,4.0207779904056706e-24,1.3915202496810753e-19,0.9999906968903026,None of the above,907,Address by the Governor Fabio Panetta
134,6.7597521189347e-10,6.808869282632048e-07,2.6201138402861893e-05,6.25437915677176e-07,4.407422953695029e-06,1.5483964580496094e-06,8.13965174183357e-07,0.9998464415439217,5.277593078927624e-13,4.795384230749166e-20,1.0806255611360998e-20,1.0383278051369621e-25,3.56220673814393e-06,1.2106739388591853e-13,7.30779250192205e-30,2.9941629858585106e-07,0.00011541890858483814,Banking Sector and Intermediary Analysis,400,Address by the Governor Fabio Panetta
135,0.9999983344979525,3.952686853799186e-12,1.6620641354023677e-06,8.432106900694622e-18,8.10105576974028e-13,5.906902167144808e-27,3.1421637873220572e-18,3.1076505986029954e-20,9.085615239506623e-24,5.298596704454398e-18,1.007426070771437e-21,1.6620793636935985e-24,3.0426554365902956e-09,4.349383114197785e-25,1.4411531742964314e-22,3.219877870326135e-17,3.904939614937988e-10,Macroeconomic Forecasting and Cyclical Outlook,94,Address by the Governor Fabio Panetta
137,4.038696844833469e-06,8.410837321435512e-13,1.0340965561894721e-06,3.905436267233137e-07,4.886537954489503e-07,3.466680317361418e-06,2.7362871463561824e-12,2.5092189963636876e-17,1.3949393632661897e-11,1.624541870497947e-12,1.349690516567553e-20,0.9999905812109915,2.0056616269913625e-12,1.1826678861315544e-23,1.4042066072666363e-22,3.3198038037272005e-12,9.339104356967486e-11,International Cooperation and Financial Fora,374,Closing remarks at the Financial Stability Board cross-border payments summit
140,0.9999111013155034,4.651904785411493e-06,9.164880770232163e-07,2.7386397902811413e-15,1.2769191918101384e-17,9.129641926576607e-25,6.499227206984036e-13,4.0827856436914246e-11,7.323726573292837e-23,2.5619785099712615e-12,5.036868639762372e-06,4.778970119588427e-07,6.6219001504882324e-12,5.885632164878959e-20,1.3531264270543088e-17,2.380412701289981e-14,7.781547529413987e-05,Macroeconomic Forecasting and Cyclical Outlook,1173,Trade and finance in a fragmented world
141,6.790687893372337e-07,4.675585515327797e-16,1.6001778200319104e-06,5.143804203877642e-07,1.4129471164330266e-07,1.5283524856473606e-05,7.17877122957621e-18,1.1254027483201653e-11,1.9738992886760983e-19,5.066231153005972e-12,0.9999717188258165,1.9410059180602037e-20,1.1711434092617462e-20,2.4684973243770316e-14,8.972409684314217e-23,3.449773999403365e-21,1.0062711240232223e-05,International Trade and Global Value Chains,782,Trade and finance in a fragmented world
142,1.667159611448579e-06,1.740147877170924e-19,3.0694416682194537e-06,3.446061725820477e-07,2.2012405903291368e-07,4.444651332632941e-05,5.516726085098696e-14,1.9442040187710976e-11,7.004290785716989e-20,2.6026385961488857e-12,0.9999372929653911,2.3694435233954474e-20,1.8148569318728828e-20,3.92427539416031e-19,3.609164232844274e-30,1.6103377408831585e-07,1.2798133897247988e-05,International Trade and Global Value Chains,1209,Trade and finance in a fragmented world
143,2.1393241305649605e-06,7.916221564981062e-07,3.7250300998407606e-06,2.1223316061317463e-06,4.576226139177353e-07,2.28616362375722e-06,3.1610236459687784e-12,6.885579432638581e-07,0.9999678788529788,2.1606924570826467e-12,3.737837958953275e-06,2.961027711092935e-06,1.624618825049673e-06,1.2644728885493638e-14,7.528809124761853e-20,7.002509847270665e-18,1.1587005017785078e-05,Financial Market Dynamics and Asset Pricing,1581,Trade and finance in a fragmented world
144,5.171725081902175e-05,3.1429651942840414e-12,4.641356725249732e-07,2.8676137911943734e-07,3.984321926297281e-07,2.7332523513725072e-30,9.232112696131262e-13,3.102550001249104e-18,2.211816947739709e-12,0.9999461257556526,4.602193243027328e-11,8.25235508486438e-12,9.732433788375537e-07,2.6767501253573736e-20,3.017977979813083e-22,3.433201495253484e-08,2.833806882080451e-11,Global Macroeconomics and Spillovers,824,Trade and finance in a fragmented world
145,7.581630710181281e-06,2.8276327147010067e-06,2.144895950906798e-06,1.1713779794038668e-06,9.352910667089944e-13,8.850779903985248e-05,3.5971291936992295e-13,4.571639581892195e-13,0.9998955131036468,3.031466538591145e-12,3.806818581594323e-13,2.6305839447646795e-11,2.2535242858636907e-06,1.422997703623266e-24,3.118793359812637e-17,2.9529438086582326e-18,4.202268737670309e-12,Financial Market Dynamics and Asset Pricing,690,Trade and finance in a fragmented world
146,0.9998943204292482,6.038193178346975e-07,2.5870002479440793e-06,7.687168732812253e-08,1.5195782426873363e-07,4.7886386814784375e-06,2.2797207288021205e-18,2.0248975271316142e-19,2.1087845045139926e-22,1.1795434336051366e-18,4.580489273677144e-07,4.461899717342015e-08,2.7254220744060054e-06,2.690292774533282e-26,2.068649255372403e-17,3.111421706061695e-16,9.424319299374555e-05,Macroeconomic Forecasting and Cyclical Outlook,658,Trade and finance in a fragmented world
147,0.00024821633899238857,1.286070890461828e-19,1.3519778674882573e-06,7.105374840893699e-07,3.601875161282104e-07,4.062233775272555e-07,5.231901163502073e-07,5.244930674032607e-12,1.1670214444814824e-25,0.9996098791487653,9.631883107362765e-05,3.4786722968407773e-06,9.552090957327263e-07,2.0094908894411832e-14,7.942789759562944e-18,6.647626021235162e-08,3.7733201889091016e-05,Global Macroeconomics and Spillovers,2099,Trade and finance in a fragmented world
148,1.3074183294934732e-06,6.939671294540505e-19,9.359064163620722e-07,2.5292620948523674e-07,9.82812957257649e-08,2.247903911751363e-05,7.107209242716958e-21,8.555474205756442e-11,3.523149008713502e-24,1.1981301183486223e-05,0.9999563312118331,3.2546469518043e-21,2.234939861262293e-20,1.3795267845071554e-18,1.8334338842044137e-18,1.252187915158648e-07,6.488611268659054e-06,International Trade and Global Value Chains,1547,Trade and finance in a fragmented world
149,0.00016067140469834274,7.048488230261063e-19,1.2984851541808511e-06,5.884001646737879e-07,5.221004314588471e-07,5.182300878416479e-07,1.545179763056689e-17,1.1446455364309636e-11,1.1232253197211855e-20,0.9994991859224628,0.00012980432454371926,1.6209391250908416e-14,1.5800584063852052e-06,3.452783162901744e-25,5.386339748461014e-17,3.413141659318361e-16,0.00020583106258751686,Global Macroeconomics and Spillovers,14,Trade and finance in a fragmented world
151,0.00018062520314855984,1.4515709154361286e-06,0.9997960730625388,1.0237044920803848e-05,2.165271442607673e-07,1.0100454124396525e-06,1.3024222262433329e-20,1.636463653161649e-12,3.460100030710557e-21,8.738570577558908e-08,3.8809248088992026e-07,1.0845626148425745e-08,4.417751667183479e-06,7.12069104268176e-20,7.817521468446063e-18,4.181083663374929e-17,5.482468803528959e-06,Labor Market and Demographic Analysis,1238,"Investing in the Future: Youth, Innovation, and Human Capital (only in Italian)"
152,8.793590306063054e-10,7.278278920010668e-07,0.9999928464553421,3.740307156356442e-06,5.768421966638569e-07,6.048186746068098e-07,6.954647904104023e-19,4.171504765556019e-12,4.729041613831135e-21,3.7424390555632934e-14,6.645384325580034e-20,6.692266633823213e-20,3.5073273447222943e-07,3.2064159942500263e-19,3.1010918271739043e-18,1.782420321358193e-17,1.1521324356371045e-06,Labor Market and Demographic Analysis,1549,"Investing in the Future: Youth, Innovation, and Human Capital (only in Italian)"
153,1.5755421899495322e-10,2.75210705316422e-14,7.924926251765433e-05,0.9999055998750179,3.296809787790904e-06,1.2622300245387956e-22,1.9755521805808996e-07,9.530529994283664e-12,5.1141311023746384e-23,9.296863143146886e-08,2.959530634802756e-19,2.698107737531996e-19,1.059338856796695e-06,4.330116808045441e-08,2.4831047149447445e-29,3.6697748876225746e-17,1.0460721690215756e-05,Human Capital and Education Economics,824,"Investing in the Future: Youth, Innovation, and Human Capital (only in Italian)"
154,7.271245785274321e-11,1.4869687500681734e-19,0.00016026544949857151,0.9998004127605796,2.3743476999779912e-06,7.035521169909466e-07,4.661763363169142e-07,8.562456943343092e-12,8.662879894171687e-20,1.4873999415554127e-07,8.077307308027083e-07,6.884105394855329e-07,1.0171556788922053e-06,8.378903648445118e-19,9.768682720653359e-18,1.3604279250544125e-22,3.31155955496641e-05,Human Capital and Education Economics,538,"Investing in the Future: Youth, Innovation, and Human Capital (only in Italian)"
155,4.655752184532407e-11,9.661296819011083e-17,4.06275316253e-11,0.9999977663116553,1.3768148655870105e-06,3.404388370750834e-07,1.252178459242671e-20,1.0384311931608205e-11,1.518178501993996e-23,9.720354277197303e-16,3.506053648346616e-07,1.6567511524993917e-07,2.505024341634174e-12,8.213061165092928e-24,2.1496324634797493e-19,4.938137610056524e-22,5.4086678817035183e-11,Human Capital and Education Economics,916,"Investing in the Future: Youth, Innovation, and Human Capital (only in Italian)"
156,8.094220202715526e-06,3.307220245578569e-14,1.237242935510726e-11,0.9999264829943857,1.3961696325125498e-06,5.918506698449972e-07,5.387832232290664e-19,2.3646019877158755e-11,1.3347719003545258e-19,4.761517649221228e-20,6.552458158769041e-08,6.191302731125426e-07,7.035353706556995e-07,1.5515009207972999e-19,2.6348390408495703e-17,1.347274179327867e-17,6.204653883241022e-05,Human Capital and Education Economics,1975,"Investing in the Future: Youth, Innovation, and Human Capital (only in Italian)"
157,2.178998377399882e-09,1.2754515433086706e-20,0.9999470792882507,4.604180577156599e-05,5.273180560353735e-08,4.556447920810325e-07,1.3667047569556636e-13,1.0617488234371172e-22,3.971007596029364e-21,6.731943533026755e-15,1.6345517403409936e-20,5.996004645924942e-26,4.7220772755932474e-07,1.3971886999907784e-26,7.940356209681322e-18,1.0893094316849524e-18,5.896142510694198e-06,Labor Market and Demographic Analysis,1762,"Investing in the Future: Youth, Innovation, and Human Capital (only in Italian)"
159,5.8268990160305195e-09,2.5307215407383602e-17,2.188790598409101e-07,1.806592257190422e-07,1.8561739458515504e-07,7.687601707713737e-30,3.262619496398947e-12,1.7321724624202424e-23,1.2453183789088574e-20,2.7442792135467833e-17,4.672195499261826e-15,3.037793668049302e-20,1.6501909391191326e-06,3.1679389667833453e-24,7.608288119467958e-24,7.292186106500585e-22,0.9999977588232143,None of the above,245,"Crypto-assets, Stablecoins, and Anti-Money Laundering"
160,1.3710249341652554e-05,4.654139239285814e-19,1.1079157775531605e-06,4.2097581359694245e-07,4.09748672877406e-07,4.232685029838749e-30,3.1046880629876047e-12,1.8835165554855358e-09,4.306811945297564e-21,1.210906635470864e-07,9.73491382340411e-25,1.6185517977485736e-24,1.0214432880838169e-06,8.173792970742685e-22,4.454412408758942e-23,6.691403266302375e-22,0.9999832066898213,None of the above,262,"Crypto-assets, Stablecoins, and Anti-Money Laundering"
161,2.29179488437742e-10,3.443715766469583e-20,1.2281467780316909e-11,2.5339201101037765e-07,1.9574626353740284e-23,1.4094552521460575e-30,3.137306728332245e-12,4.792190120074008e-10,8.533728906374409e-20,2.3818584759548995e-14,1.2451395718906407e-16,5.1786118123478004e-20,8.653938710077941e-07,1.22071400106713e-25,1.2220502396667465e-17,2.674161351426789e-22,0.9999988804902767,None of the above,1043,"Crypto-assets, Stablecoins, and Anti-Money Laundering"
162,1.84009656526905e-09,1.885897979728465e-19,8.557082567336421e-07,3.831322826427061e-07,2.937916122992925e-07,1.8020445764471752e-29,1.7318881555383166e-11,1.0129868227122092e-10,8.319277661598627e-26,6.163917286741746e-08,7.43766966841064e-27,2.1835000738574047e-24,6.158948989153611e-06,1.4747340800725727e-25,3.714933710376786e-23,4.770152029815495e-22,0.9999922448209722,None of the above,1203,"Crypto-assets, Stablecoins, and Anti-Money Laundering"
163,6.237852955145318e-10,1.7811643374360406e-16,3.347373039175937e-07,2.290512663753615e-07,1.5398620711976521e-07,1.8659648549662894e-27,4.231421583228687e-05,1.4580046049752428e-17,1.698025073957573e-20,8.993692959916131e-14,3.163810075803274e-20,1.5842712381545867e-24,3.86419856257657e-24,1.0149273662655183e-23,1.1106104859412561e-17,5.413423999046929e-21,0.999956967385515,None of the above,1023,"Crypto-assets, Stablecoins, and Anti-Money Laundering"
165,1.7271968399210938e-07,8.486401750307183e-17,3.6806829162458286e-07,6.510571494435188e-08,2.440241896831812e-08,4.3253542549193285e-06,2.5050388850213727e-17,9.194544177509496e-11,5.404076028838303e-22,5.432249020449748e-12,0.9999950442493925,1.5295870509637842e-20,1.2416017022896841e-23,5.7734940497321236e-21,1.704907542170112e-21,1.1595083489262042e-19,2.8653550044959465e-12,International Trade and Global Value Chains,240,Systemic risk in an era of radical change
166,2.2817070710584148e-10,1.0357030474239038e-19,2.5124230428252393e-07,2.6216444346185004e-07,1.0639595520722921e-07,2.928642354586117e-15,0.9999859403923336,4.734824968935869e-13,1.2167069649787658e-21,2.2584872796001343e-13,1.2374394594564297e-18,7.194387749347105e-22,2.0107495560536937e-06,5.091511050279127e-22,3.836676900684651e-24,4.20980924948649e-18,1.1428826534359502e-05,Systemic Risk and Macroprudential Frameworks,450,Systemic risk in an era of radical change
167,7.462472776295206e-07,2.917063946036818e-07,1.0116877674749286e-06,3.6647769487521303e-07,1.4692435094644714e-07,3.982491109391699e-06,9.390537113414862e-14,1.3412987890688993e-11,1.333214483807914e-06,4.181348330173613e-13,5.743359236455716e-22,0.9999912587395127,6.208188925476483e-07,7.5544438486824e-24,7.728960523132967e-18,2.4167305427695037e-07,5.536874229072565e-12,International Cooperation and Financial Fora,223,Systemic risk in an era of radical change
168,1.8452651364964679e-09,1.8612208504816692e-17,2.842220417805971e-07,2.897760112502978e-07,2.4114494524946623e-07,6.610328192162485e-29,4.588312551158944e-12,4.856987825368582e-12,5.68878129319187e-21,4.39281684596731e-08,4.391227172344002e-09,1.5459881023274368e-06,9.432730347478617e-07,1.3659916507347371e-18,2.0832514037207738e-20,1.4792516258657463e-16,0.9999966454217584,None of the above,483,Systemic risk in an era of radical change
169,1.0733167755609267e-09,3.529472330766074e-19,2.203694542005747e-06,3.2186303574684737e-07,3.4995504247351747e-07,6.3977942866933104e-27,0.9998873800092465,2.9313553313694036e-06,9.876056903548022e-13,1.2675457002836856e-13,3.6731769033289157e-19,7.209184086563618e-23,3.7662438341614407e-06,1.1075929696726894e-23,8.626355973743901e-24,1.7683639808071002e-20,0.00010304580453678733,Systemic Risk and Macroprudential Frameworks,120,Systemic risk in an era of radical change
171,1.4384073185056032e-09,2.6408754540439696e-06,3.07729928325462e-06,2.687246393479652e-07,3.599128873713232e-07,2.1199239697554196e-18,1.0613194161641775e-18,7.724135435809211e-11,6.100185161949207e-07,1.6129442669315464e-07,1.8147414675729675e-22,3.616180494973827e-22,8.51653392405319e-06,4.738744921369231e-12,0.9997142442759336,2.1231270964963963e-21,0.0002701195445481061,Statistical Data Collection and Ingestion,130,Innovation and cooperation for modern statistics
172,4.1442987463431084e-10,4.340556147900947e-06,2.3472650863418622e-06,1.813984948908616e-07,3.508567618822509e-07,7.903297117086785e-18,8.992374727396051e-16,3.076604785527499e-11,8.268206653545196e-07,1.4096830729044815e-07,8.93766662265366e-17,1.9411065433806424e-20,4.554110883411543e-06,5.643747515543875e-05,0.9997485949952024,5.6219915062716785e-19,0.00018222510809821514,Statistical Data Collection and Ingestion,128,Innovation and cooperation for modern statistics
173,1.6037407273511966e-14,5.886274125807443e-06,4.7149121336907344e-06,3.3110617485780445e-07,3.021638553364672e-07,1.2009762138132462e-17,9.1059251512589e-19,8.386952913570882e-10,1.3844877949502403e-06,1.664466824489057e-07,7.46685856987116e-17,8.16837581895244e-21,2.762439533049922e-05,3.0133185337395067e-05,0.9997298986164672,1.680640509538872e-20,0.00019955757338633594,Statistical Data Collection and Ingestion,153,Innovation and cooperation for modern statistics
174,1.78224356674158e-09,1.0610936705261362e-06,1.1788838155854197e-06,5.742283476002681e-08,1.3056868239953726e-07,3.9893626466933314e-19,1.3842971872136051e-18,2.4380489982956906e-11,6.036567386692359e-07,1.9531084055433777e-19,4.8642210922464465e-18,5.874556925278216e-23,1.6292254228171242e-05,1.0815122603561357e-11,0.9998646663976221,1.959932810778633e-21,0.00011600790496878071,Statistical Data Collection and Ingestion,87,Innovation and cooperation for modern statistics
175,8.734517743135583e-06,1.4205851017409655e-19,2.451856499272181e-07,1.6990133577903116e-07,1.0547724136322536e-07,8.187176554877585e-19,2.3569319666629705e-13,3.841773365655028e-12,3.6361742808896875e-21,4.367461434571292e-08,1.5041280368905645e-17,3.059741761821308e-20,7.841355472305697e-26,7.40633854099983e-07,2.9821276380920063e-06,2.692926142951421e-16,0.9999869784778456,None of the above,105,Innovation and cooperation for modern statistics
176,1.9444642095002567e-06,1.0714624595302198e-18,5.739208364665485e-07,4.0131413692705073e-07,1.771763052629366e-07,3.7901433957886892e-06,1.7579843512063927e-19,2.003962778483578e-11,1.9504494011497695e-07,1.4196426539369618e-06,2.1256617619834165e-20,0.9999914981823028,4.8538819631543537e-20,1.1169648549896062e-22,6.096313696155684e-12,1.2121954699742532e-20,8.508331061144977e-11,International Cooperation and Financial Fora,151,Innovation and cooperation for modern statistics
177,5.7825651279087585e-06,3.4042812980757357e-19,7.26855100742942e-07,2.7546305445468355e-07,3.4902880716735683e-07,1.0194369658191792e-29,5.657518492148773e-18,1.2960669078314925e-11,2.737322635657495e-26,7.240119248864557e-13,2.654142606219441e-10,4.957568263914535e-06,3.470630445059244e-24,4.371396891828495e-23,2.159967060559735e-22,5.748260837589905e-21,0.9999879082405467,None of the above,17,Innovation and cooperation for modern statistics
179,1.9906947680291802e-07,3.399661089230098e-07,1.4061074791958483e-06,4.196770464478692e-07,3.052696797848629e-21,2.253935937936112e-06,4.494263196480623e-06,9.723019773784423e-07,0.9998692277195503,1.5671362272727742e-12,7.236294065050433e-07,1.7873294627223772e-06,1.0036546088295207e-06,7.956496535697647e-26,1.6418124109764654e-19,7.567115029301097e-21,0.00011717234418103302,Financial Market Dynamics and Asset Pricing,890,Stablecoins in the Payments Ecosystem: Reflections on Responsible Innovation
180,2.8296077261350986e-10,3.284176910411238e-07,1.0698297463597627e-06,2.3069673495685009e-07,1.3745797534246103e-07,5.263589692922418e-27,0.9999466142109271,1.5422907415825334e-06,1.5780555396419484e-06,3.440931127872596e-07,6.091069667212352e-09,1.5407125165163922e-06,3.602647213587805e-06,2.2858373674596137e-22,2.772326936326407e-19,2.3311761788995647e-15,4.3005213768170976e-05,Systemic Risk and Macroprudential Frameworks,1056,Stablecoins in the Payments Ecosystem: Reflections on Responsible Innovation
181,2.880202694373825e-06,1.6396396527144026e-06,4.594361316676764e-07,4.396475322517014e-07,7.08832515562978e-18,4.371234620720564e-22,7.890660977097875e-06,2.1776267401593145e-11,2.1596100671504125e-06,3.797697091206772e-06,1.1282388679745915e-15,0.9999586767053313,7.045022136717695e-20,2.3410011568880596e-17,1.7101848392906402e-17,2.736263445476573e-15,2.2056378742172807e-05,International Cooperation and Financial Fora,1498,Stablecoins in the Payments Ecosystem: Reflections on Responsible Innovation
182,3.471331599648543e-05,2.795401663744915e-06,1.073381210610742e-06,2.7998955838398586e-07,2.2332221296896746e-07,6.811720250434037e-27,3.454254028031701e-05,1.3375753888713373e-10,2.3828096347220793e-05,1.2278043482507323e-07,2.8727040221199715e-24,1.7131266864791886e-24,1.1917506869253187e-06,2.2054001578996933e-27,8.783104328012009e-18,6.202100022785918e-21,0.9999012292878511,None of the above,1043,Stablecoins in the Payments Ecosystem: Reflections on Responsible Innovation
184,9.608773783920671e-06,0.9999145592280831,6.275268023172041e-18,8.436559033388698e-08,6.234166720241743e-18,3.174311615317138e-22,3.730754511688548e-18,6.20335239136265e-07,4.668807229046615e-05,3.602179341035217e-13,4.3156657267691926e-19,3.653104150220159e-24,2.4980209013452883e-06,2.8976931211468077e-07,8.210266257129521e-22,3.2049570473141706e-08,2.561938486888682e-05,Monetary Policy Analysis and Transmission,1827,"Euro digitale, cripto-attività e finanza digitale (only in Italian)"
185,7.69794168768648e-10,4.6782860278589494e-07,5.212940345010246e-07,3.161949722825475e-07,2.120399509974607e-07,2.483986882346722e-23,0.9998129450421193,7.078310130413985e-07,6.914244227473294e-06,1.902392824964369e-07,5.763402714348026e-21,5.716478794709628e-19,3.1926261013243567e-06,2.9678786758184425e-20,1.0455481604782956e-18,8.597179280148995e-16,0.00017453188990067337,Systemic Risk and Macroprudential Frameworks,1725,"Euro digitale, cripto-attività e finanza digitale (only in Italian)"
186,1.8322233545022123e-09,1.1575662458549764e-06,1.0527465393220847e-05,1.9165535576315744e-07,2.8549533913889977e-17,6.5187937835206866e-06,3.182649672493354e-06,0.9999561858407188,5.545775170233654e-06,1.274802758480331e-14,5.537515861420527e-21,7.513563225786063e-26,1.4372443518320096e-06,3.2637584896751726e-19,1.2163721543857842e-22,6.970995945628275e-17,1.5251177072470207e-05,Banking Sector and Intermediary Analysis,818,"Euro digitale, cripto-attività e finanza digitale (only in Italian)"
187,1.5526060530336663e-05,5.463874559617016e-19,1.4179367960756123e-10,2.7048405372824686e-07,3.69781929794587e-17,4.4064974290976914e-20,1.4172874436724387e-05,2.325258340901195e-10,9.084585263247242e-20,1.9338563790757818e-13,1.1582369730378929e-18,5.118435874690038e-17,1.4646367422409996e-23,5.818804607947206e-07,1.0859933462885821e-16,2.7885900670507056e-17,0.9999694483260053,None of the above,2098,"Euro digitale, cripto-attività e finanza digitale (only in Italian)"
188,3.234220901805876e-05,1.9932629155195857e-19,7.652672257043222e-11,2.8522057962586094e-07,3.3889674729432106e-18,1.2915044174275042e-23,1.4901931047356659e-05,3.0345670088540227e-09,3.3368947204220843e-19,8.016385189497675e-08,2.059531109443042e-15,9.741269503690751e-14,6.804266631214973e-18,5.839408805693708e-20,1.4826885951850837e-16,4.0557354954890914e-17,0.9999523873643097,None of the above,1764,"Euro digitale, cripto-attività e finanza digitale (only in Italian)"
190,9.23487052003172e-05,2.6701702729733537e-19,2.708400044512081e-10,7.041588820775243e-07,2.311017445999558e-06,1.1791358295672877e-14,6.946350451965374e-05,7.134895655589417e-09,8.766072016193484e-25,2.116390721651475e-07,3.838615899093672e-11,2.6306042943007614e-08,7.512583101562515e-23,3.8643892458457207e-19,2.8615452635009855e-17,6.883356690173489e-17,0.9998349272247032,None of the above,328,La regolamentazione finanziaria e le regole fiscali nell'era digitale: tracciare il percorso futuro (only in Italian)
